Metadata creation date: 31st Oct 2017,,
Metadata original file:  raw_house_completions.csv,,
Metadata original data source: https://data.gov.ie/,,
county,year,number
Clare,2012,6
Cork,2012,140
Donegal,2012,3
Dublin,2012,142
Galway,2012,10
Kerry,2012,25
Kildare,2012,62
Kilkenny,2012,8
Laois,2012,8
Leitrim,2012,0
Limerick,2012,10
Longford,2012,1
Louth,2012,106
Mayo,2012,4
Meath,2012,20
Monaghan,2012,2
Offaly,2012,12
Roscommon,2012,0
Sligo,2012,2
Tipperary,2012,12
Waterford,2012,5
Westmeath,2012,4
Wexford,2012,15
Wicklow,2012,28
Carlow,2013,2
Cavan,2013,0
Clare,2013,5
Cork,2013,197
Donegal,2013,23
Dublin,2013,675
Galway,2013,18
Kerry,2013,25
Kildare,2013,118
Kilkenny,2013,8
Laois,2013,8
Leitrim,2013,0
Limerick,2013,26
Longford,2013,1
Louth,2013,35
Mayo,2013,38
Meath,2013,59
Monaghan,2013,3
Offaly,2013,6
Roscommon,2013,1
Sligo,2013,2
Tipperary,2013,9
Waterford,2013,13
Westmeath,2013,4
Wexford,2013,6
Wicklow,2013,44
Carlow,2014,26
Cavan,2014,2
Clare,2014,8
Cork,2014,297
Donegal,2014,11
Dublin,2014,1339
Galway,2014,32
Kerry,2014,28
Kildare,2014,337
Kilkenny,2014,6
Laois,2014,3
Leitrim,2014,0
Limerick,2014,24
Longford,2014,0
Louth,2014,23
Mayo,2014,0
Meath,2014,170
Monaghan,2014,8
Offaly,2014,21
Roscommon,2014,0
Sligo,2014,0
Tipperary,2014,15
Waterford,2014,55
Westmeath,2014,12
Wexford,2014,36
Wicklow,2014,121
Carlow,2015,6
Cavan,2015,0
Clare,2015,25
Cork,2015,479
Donegal,2015,15
Dublin,2015,2535
Galway,2015,59
Kerry,2015,19
Kildare,2015,448
Kilkenny,2015,16
Laois,2015,0
Leitrim,2015,1
Limerick,2015,100
Longford,2015,0
Louth,2015,55
Mayo,2015,22
Meath,2015,163
Monaghan,2015,10
Offaly,2015,4
Roscommon,2015,8
Sligo,2015,0
Tipperary,2015,13
Waterford,2015,42
Westmeath,2015,18
Wexford,2015,77
Wicklow,2015,182
